member_ID,Start_Node,End_Node,Governing_Load_Case,P,Mx,My,DC_Ratio
BR0379,P021119,X021118492,Wind -X + 0.3 Wind -Y,5980.75340849944,326612.272488774,625786.772182403,0.158112271185833
BR0380,P021218,X021118492,Wind X + 0.3 Wind Y,-5289.99447021421,123257.617153059,602112.12056894,0.140927868474464
CO0045,P021120,P031120,0.3 Wind -X + Wind Y,-16342.7163109825,4432452.50790296,-13078335.2892991,0.746073335806623
BR0382,P031121,X021120506,1.2D+1.6L,125.0655093334,3.40514816343784E-10,-88434.7594479606,0.0183236847364003
BR0383,P021120,X021119497,0.3 Wind X + Wind -Y,3218.22446210376,-3404133.75681105,46580.3448465019,1.7427651022489
BR0384,P031119,X021119497,Wind -X + 0.3 Wind -Y,-11081.3651860918,-1429511.5312028,-359843.753188727,0.333260479279943
CO0046,P021121,P031121,Wind X + 0.3 Wind Y,-14188.064286569,-24040804.466982,-5421452.94592893,0.452204624677392
BR0397,P021122,X021122527,Wind -X + 0.3 Wind -Y,-9154.67272867437,5052199.97287477,-89824.447950684,0.885296256780853
BR0398,P021223,X021122527,Wind -X + 0.3 Wind -Y,-9273.20248080754,-1692883.84140178,260742.375816808,0.376574790100168
BR0401,P021123,X021122527,Wind -X + 0.3 Wind -Y,19585.344034904,-1595853.48267545,1111402.31824575,0.442991293247368
BR0402,P021222,X021122527,Wind X + 0.3 Wind Y,-23367.9461265548,1756743.1209671,1068559.68179859,0.488262182359102
BR0411,P021221,X021221547,0.3 Wind X + Wind -Y,10564.7123271631,-29984.6267685891,525657.894928077,0.132451411390159
BR0412,P021322,X021221547,0.3 Wind -X + Wind Y,-4109.22241617468,-14544.6545147821,500040.118051595,0.1141265264343
BR0413,P021222,X021222551,Wind X + 0.3 Wind -Y,-10702.3800703642,-33738.9765181418,450789.130357645,0.123807088486968
BR0414,P021323,X021222551,0.3 Wind -X + Wind Y,-5834.62106219329,9235.95693065681,511760.668664606,0.121593997193446
BR0415,P021222,X021221547,0.3 Wind -X + Wind -Y,5044.66398865165,45217.0824381945,391708.730330327,0.0923738261215167
BR0416,P021321,X021221547,0.3 Wind X + Wind Y,1521.83813036025,59110.2490904984,397868.700736522,0.0856100170651584
BE0094,P021223,P021323,0.3 Wind X + Wind -Y,23335.2889718314,0,125465.937918313,0.0276778093553052
BR0417,P021223,X021222551,0.3 Wind -X + Wind -Y,-10479.1005324063,-23671.0659299391,412263.123220373,0.115174991190331
BR0418,P021322,X021222551,0.3 Wind X + Wind Y,6327.03192903,-22488.9114891349,477203.305384374,0.112428682148177
