member_ID,start_node,end_node,size,PI,V2I,V3I,TI,M2I,M3I,PJ,V2J,V3J,TJ,M2J,M3J,add_back?
BR0107,P080005,P090006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0108,P090005,P080006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0109,P090000,P100001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0110,P100000,P090001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0111,P090001,P100002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0112,P100001,P090002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0113,P090002,P100003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0114,P100002,P090003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0115,P090003,P100004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0116,P100003,P090004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0117,P090004,P100005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0118,P100004,P090005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0119,P090005,P100006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0120,P100005,P090006,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0121,P100000,P110001,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0122,P110000,P100001,HSS88.9X88.9X9.5,True,True,True,True,True,True,True,True,True,True,True,True,True
BR0123,P100001,P110002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0124,P110001,P100002,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0125,P100002,P110003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0126,P110002,P100003,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0127,P100003,P110004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0128,P110003,P100004,0,True,True,True,True,True,True,True,True,True,True,True,True,False
BR0129,P100004,P110005,0,True,True,True,True,True,True,True,True,True,True,True,True,False
